SampleID,CellType,n,freq,lev
BC_early_10,Myeloid cell,312,0.090671316,Majorcelltype_annotation
BC_early_10,Cancer/epithelial,1200,0.348735833,Majorcelltype_annotation
BC_early_10,Fibroblast,329,0.095611741,Majorcelltype_annotation
BC_early_10,EC,94,0.02731764,Majorcelltype_annotation
BC_early_11,T/NK cell,176,0.556962025,Majorcelltype_annotation
BC_early_11,B cell,13,0.041139241,Majorcelltype_annotation
BC_early_11,Myeloid cell,82,0.259493671,Majorcelltype_annotation
BC_early_11,Cancer/epithelial,25,0.079113924,Majorcelltype_annotation
BC_early_11,Fibroblast,8,0.025316456,Majorcelltype_annotation
BC_early_11,EC,12,0.037974684,Majorcelltype_annotation
BC_early_12,T/NK cell,1809,0.638545711,Majorcelltype_annotation
BC_early_12,B cell,483,0.170490646,Majorcelltype_annotation
BC_early_12,Myeloid cell,263,0.092834451,Majorcelltype_annotation
BC_early_12,Cancer/epithelial,209,0.073773385,Majorcelltype_annotation
BC_early_12,Fibroblast,40,0.014119308,Majorcelltype_annotation
BC_early_12,EC,29,0.010236498,Majorcelltype_annotation
BC_early_13,T/NK cell,62,0.016820402,Majorcelltype_annotation
BC_early_13,B cell,7,0.001899078,Majorcelltype_annotation
BC_early_13,Myeloid cell,86,0.023331525,Majorcelltype_annotation
BC_early_13,Cancer/epithelial,3267,0.886326641,Majorcelltype_annotation
BC_early_13,Fibroblast,146,0.039609333,Majorcelltype_annotation
BC_early_13,EC,118,0.032013022,Majorcelltype_annotation
BC_early_14,T/NK cell,2720,0.512048193,Majorcelltype_annotation
BC_early_14,B cell,284,0.053463855,Majorcelltype_annotation
BC_early_14,Myeloid cell,237,0.044615964,Majorcelltype_annotation
BC_early_14,Cancer/epithelial,1425,0.268260542,Majorcelltype_annotation
BC_early_14,Fibroblast,460,0.086596386,Majorcelltype_annotation
BC_early_14,EC,186,0.03501506,Majorcelltype_annotation
BC_early_15,T/NK cell,3062,0.615230058,Majorcelltype_annotation
BC_early_15,B cell,400,0.080369701,Majorcelltype_annotation
BC_early_15,Myeloid cell,396,0.079566004,Majorcelltype_annotation
BC_early_15,Cancer/epithelial,857,0.172192084,Majorcelltype_annotation
BC_early_15,Fibroblast,238,0.047819972,Majorcelltype_annotation
BC_early_15,EC,24,0.004822182,Majorcelltype_annotation
BC_early_16,T/NK cell,379,0.125372147,Majorcelltype_annotation
BC_early_16,B cell,37,0.012239497,Majorcelltype_annotation
BC_early_16,Myeloid cell,310,0.102547139,Majorcelltype_annotation
BC_early_16,Cancer/epithelial,2247,0.743301356,Majorcelltype_annotation
